sampleid,pond_id,taxon,biomass,doy,treatment,period,group
E20A143,A,Alona,0,143,pulsed,prepulse,SmCladocera
E20A143,A,Alonella,0,143,pulsed,prepulse,SmCladocera
E20A143,A,Bosmina,0,143,pulsed,prepulse,Bosmina
E20A143,A,Camptocercus,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Ceriodaphnia,0,143,pulsed,prepulse,Ceriodaphnia
E20A143,A,Chydorus,18.4736082023999,143,pulsed,prepulse,Chydorus
E20A143,A,Daphnia,0,143,pulsed,prepulse,Daphnia
E20A143,A,Daphnia.lumholtzi,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Diaphanosoma,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Graptoleberis,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Leptodora,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Moina,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Pleuroxus,0,143,pulsed,prepulse,SmCladocera
E20A143,A,Scapholeberis,0,143,pulsed,prepulse,LgCladocera
E20A143,A,Simocephalus,0,143,pulsed,prepulse,Simocephalus
E20A143,A,Calanoida,0,143,pulsed,prepulse,Calanoid
E20A143,A,Cyclopoida,25.1622483180645,143,pulsed,prepulse,Cyclopoid
E20A143,A,Nauplii,4.81409661216244,143,pulsed,prepulse,Nauplii
E20A143,A,Anuraeopsis,0,143,pulsed,prepulse,Rotifer
E20A143,A,Ascomorpha,0,143,pulsed,prepulse,Rotifer
E20A143,A,Asplanchna,0,143,pulsed,prepulse,Rotifer
E20A143,A,Asplanchnopus,0,143,pulsed,prepulse,Rotifer
E20A143,A,Brachionus,0,143,pulsed,prepulse,Rotifer
E20A143,A,Conochilus,0,143,pulsed,prepulse,Rotifer
E20A143,A,Euchlanis,0,143,pulsed,prepulse,Rotifer
E20A143,A,Filinia,0,143,pulsed,prepulse,Rotifer
E20A143,A,Gastropus,0,143,pulsed,prepulse,Rotifer
E20A143,A,Hexarthra,0,143,pulsed,prepulse,Rotifer
E20A143,A,Kellicottia,0,143,pulsed,prepulse,Rotifer
E20A143,A,Keratella.cochlearis,0.0125704088293805,143,pulsed,prepulse,Rotifer
E20A143,A,Keratella.quadrata,0.563929973809381,143,pulsed,prepulse,Rotifer
E20A143,A,Lecane,0,143,pulsed,prepulse,Rotifer
E20A143,A,Lepadella,0,143,pulsed,prepulse,Rotifer
E20A143,A,Macrochaetus,0,143,pulsed,prepulse,Rotifer
E20A143,A,Monostyla,0,143,pulsed,prepulse,Rotifer
E20A143,A,Mytilina,0,143,pulsed,prepulse,Rotifer
E20A143,A,Notholca,0,143,pulsed,prepulse,Rotifer
