pond,datetime,date,doy,time,temp,do,dosat
A,5/9/2020 15:15,5/9/2020,130,15:15,16.109,12.347,125.413812
A,5/9/2020 15:45,5/9/2020,130,15:45,16.152,12.409,126.158393
A,5/9/2020 16:15,5/9/2020,130,16:15,16.229,12.441,126.689918
A,5/9/2020 16:45,5/9/2020,130,16:45,16.331,12.481,127.371366
A,5/9/2020 17:15,5/9/2020,130,17:15,16.348,12.519,127.805002
A,5/9/2020 17:45,5/9/2020,130,17:45,16.39,12.631,129.062668
A,5/9/2020 18:15,5/9/2020,130,18:15,16.424,12.61,128.940459
A,5/9/2020 18:45,5/9/2020,130,18:45,16.526,12.584,128.95121
A,5/9/2020 19:15,5/9/2020,130,19:15,16.577,12.627,129.530663
A,5/9/2020 19:45,5/9/2020,130,19:45,16.611,12.669,130.05438
A,5/9/2020 20:15,5/9/2020,130,20:15,16.569,12.689,130.144788
A,5/9/2020 20:45,5/9/2020,130,20:45,16.569,12.694,130.196071
A,5/9/2020 21:15,5/9/2020,130,21:15,16.56,12.722,130.458569
A,5/9/2020 21:45,5/9/2020,130,21:45,16.552,12.708,130.293089
A,5/9/2020 22:15,5/9/2020,130,22:15,16.594,13.464,138.166149
A,5/9/2020 22:45,5/9/2020,130,22:45,16.475,13.878,142.058591
A,5/9/2020 23:15,5/9/2020,130,23:15,16.322,13.827,141.080793
A,5/9/2020 23:45,5/9/2020,130,23:45,16.135,13.67,138.928573
A,5/10/2020 0:15,5/10/2020,131,0:15,16.007,13.563,137.467649
A,5/10/2020 0:45,5/10/2020,131,0:45,15.845,13.49,136.257908
A,5/10/2020 1:15,5/10/2020,131,1:15,15.674,13.441,135.269178
A,5/10/2020 1:45,5/10/2020,131,1:45,15.546,13.404,134.528442
A,5/10/2020 2:15,5/10/2020,131,2:15,15.451,13.365,133.864548
A,5/10/2020 2:45,5/10/2020,131,2:45,15.366,13.348,133.450889
A,5/10/2020 3:15,5/10/2020,131,3:15,15.263,13.316,132.836861
A,5/10/2020 3:45,5/10/2020,131,3:45,15.203,13.271,132.217274
A,5/10/2020 4:15,5/10/2020,131,4:15,15.143,13.228,131.618789
A,5/10/2020 4:45,5/10/2020,131,4:45,15.057,13.175,130.84871
A,5/10/2020 5:15,5/10/2020,131,5:15,14.971,13.117,130.03111
A,5/10/2020 5:45,5/10/2020,131,5:45,14.902,13.051,129.184066
A,5/10/2020 6:15,5/10/2020,131,6:15,14.816,12.982,128.262159
A,5/10/2020 6:45,5/10/2020,131,6:45,14.73,12.88,127.01745
A,5/10/2020 7:15,5/10/2020,131,7:15,14.678,12.809,126.174839
A,5/10/2020 7:45,5/10/2020,131,7:45,14.652,12.731,125.335728
A,5/10/2020 8:15,5/10/2020,131,8:15,14.635,12.691,124.895807
A,5/10/2020 8:45,5/10/2020,131,8:45,14.652,12.633,124.370926
A,5/10/2020 9:15,5/10/2020,131,9:15,14.669,12.633,124.416843
A,5/10/2020 9:45,5/10/2020,131,9:45,14.738,12.684,125.106278
A,5/10/2020 10:15,5/10/2020,131,10:15,14.833,12.661,125.136732
A,5/10/2020 10:45,5/10/2020,131,10:45,14.867,12.653,125.149721
A,5/10/2020 11:15,5/10/2020,131,11:15,14.945,12.616,124.994384
A,5/10/2020 11:45,5/10/2020,131,11:45,14.979,12.751,126.424729
A,5/10/2020 12:15,5/10/2020,131,12:15,15.005,12.626,125.255659
A,5/10/2020 12:45,5/10/2020,131,12:45,14.997,12.706,126.027529
A,5/10/2020 13:15,5/10/2020,131,13:15,15.031,12.663,125.693222
A,5/10/2020 13:45,5/10/2020,131,13:45,15.022,12.781,126.839858
A,5/10/2020 14:15,5/10/2020,131,14:15,15.074,13.164,130.787396
A,5/10/2020 14:45,5/10/2020,131,14:45,15.126,13.484,134.116879
A,5/10/2020 15:15,5/10/2020,131,15:15,15.186,13.374,133.194723
A,5/10/2020 15:45,5/10/2020,131,15:45,15.237,13.381,133.410704
A,5/10/2020 16:15,5/10/2020,131,16:15,15.246,13.305,132.67864
A,5/10/2020 16:45,5/10/2020,131,16:45,15.314,13.267,132.493119
A,5/10/2020 17:15,5/10/2020,131,17:15,15.306,13.392,133.71848
A,5/10/2020 17:45,5/10/2020,131,17:45,15.297,13.274,132.51464
A,5/10/2020 18:15,5/10/2020,131,18:15,15.263,13.374,133.415454
A,5/10/2020 18:45,5/10/2020,131,18:45,15.22,14.074,140.26874
A,5/10/2020 19:15,5/10/2020,131,19:15,15.134,14.358,142.834618
A,5/10/2020 19:45,5/10/2020,131,19:45,15.031,14.305,141.99175
A,5/10/2020 20:15,5/10/2020,131,20:15,14.954,14.325,141.954087
A,5/10/2020 20:45,5/10/2020,131,20:45,14.867,14.135,139.808054
A,5/10/2020 21:15,5/10/2020,131,21:15,14.773,13.83,136.513174
A,5/10/2020 21:45,5/10/2020,131,21:45,14.695,13.518,133.207971
A,5/10/2020 22:15,5/10/2020,131,22:15,14.635,13.311,130.997406
A,5/10/2020 22:45,5/10/2020,131,22:45,14.583,13.227,130.023715
A,5/10/2020 23:15,5/10/2020,131,23:15,14.54,13.167,129.312905
A,5/10/2020 23:45,5/10/2020,131,23:45,14.479,13.133,128.807825
A,5/11/2020 0:15,5/11/2020,132,0:15,14.427,13.064,127.985968
A,5/11/2020 0:45,5/11/2020,132,0:45,14.367,13.034,127.525056
A,5/11/2020 1:15,5/11/2020,132,1:15,14.324,12.953,126.613633
A,5/11/2020 1:45,5/11/2020,132,1:45,14.272,12.914,126.089072
A,5/11/2020 2:15,5/11/2020,132,2:15,14.22,12.874,125.555658
