"sample_id","pond_id","doy","vial","lot_number","sample_type","run","start_time","end_time","vial_number","toc_ppb","ic_ppb","tc_ppb","run_date","mean_blank_toc_ppb","mean_blank_ic_ppb","mean_blank_tc_ppb","doc_ppb","dic_ppb","dc_ppb"
"E143","E",143,"E20E143",NA,"Sample",0,2021-12-08 16:41:03,2021-12-08 17:13:21,"3",39500,185,39700,"Dec. 8",80.65,184.5,265,39419.35,0.5,39435
"E146","E",146,"E20E146",NA,"Sample",0,2021-12-08 17:13:34,2021-12-08 17:45:50,"4",17800,184,18000,"Dec. 8",80.65,184.5,265,17719.35,-0.5,17735
"E148","E",148,"E20E148",NA,"Sample",0,2021-12-08 17:46:04,2021-12-08 18:18:14,"5",6300,216,6520,"Dec. 8",80.65,184.5,265,6219.35,31.5,6255
"E150","E",150,"E20E150",NA,"Sample",0,2021-12-08 18:18:27,2021-12-08 18:50:35,"6",6530,226,6750,"Dec. 8",80.65,184.5,265,6449.35,41.5,6485
"F146","F",146,"E20F146",NA,"Sample",0,2021-12-08 18:50:49,2021-12-08 19:22:57,"7",6710,226,6940,"Dec. 8",80.65,184.5,265,6629.35,41.5,6675
"F143","F",143,"E20F143",NA,"Sample",0,2021-12-08 19:23:10,2021-12-08 19:55:18,"8",6110,228,6340,"Dec. 8",80.65,184.5,265,6029.35,43.5,6075
"F148","F",148,"E20F148",NA,"Sample",0,2021-12-08 19:55:32,2021-12-08 20:27:40,"9",5330,198,5530,"Dec. 8",80.65,184.5,265,5249.35,13.5,5265
"F150","F",150,"E20F150",NA,"Sample",0,2021-12-08 20:27:54,2021-12-08 21:00:03,"10",5730,188,5920,"Dec. 8",80.65,184.5,265,5649.35,3.5,5655
"D143","D",143,"E20D143",NA,"Sample",0,2021-12-08 21:00:18,2021-12-08 21:32:26,"11",6120,191,6310,"Dec. 8",80.65,184.5,265,6039.35,6.5,6045
"D146","D",146,"E20D146",NA,"Sample",0,2021-12-08 21:32:40,2021-12-08 22:04:48,"12",7010,186,7200,"Dec. 8",80.65,184.5,265,6929.35,1.5,6935
"D148","D",148,"E20D148",NA,"Sample",0,2021-12-08 22:05:01,2021-12-08 22:37:10,"13",6230,183,6410,"Dec. 8",80.65,184.5,265,6149.35,-1.5,6145
"D150","D",150,"E20D150",NA,"Sample",0,2021-12-08 22:37:24,2021-12-08 23:09:33,"14",7260,185,7440,"Dec. 8",80.65,184.5,265,7179.35,0.5,7175
"A143","A",143,"A143","E20","Sample",1,2022-01-21 15:47:42,2022-01-21 16:15:59,"3",7500,260,7760,"Jan. 21",170.225,81.95,252.5,7329.775,178.05,7507.5
"A146","A",146,"A146","E20","Sample",1,2022-01-21 16:16:13,2022-01-21 16:44:19,"4",23900,242,24100,"Jan. 21",170.225,81.95,252.5,23729.775,160.05,23847.5
