pond_id,doy,GPP,R,NEP
A,145,2.305183714,2.180675384,4.485859098
A,146,20.4229749,-9.993124735,10.42985016
A,147,8.828259677,-7.025053543,1.803206135
A,148,10.3096538,-6.293546232,4.016107563
A,149,7.257719065,-7.113463909,0.144255156
A,151,0.991497349,-5.282115186,-4.290617837
A,152,-3.552988331,13.22164107,9.668652743
A,153,1.882355225,-1.707259132,0.175096093
A,154,-0.142976047,2.366330253,2.223354206
A,155,3.787158303,-4.858912476,-1.071754173
A,156,1.340571122,-1.66753719,-0.326966068
A,157,3.917159324,-5.05116191,-1.134002585
A,158,2.518378018,-1.89733466,0.621043359
A,159,0.748747601,2.585608021,3.334355622
A,160,7.685569501,-8.490220483,-0.804650982
A,161,1.415170607,-4.447872081,-3.032701475
A,162,5.180048451,-8.37101262,-3.190964169
A,163,0.495915373,-5.756023199,-5.260107826
A,164,-0.59848103,-2.776011644,-3.374492674
A,165,-0.525292124,2.831107744,2.30581562
A,166,4.981026879,-8.256024457,-3.274997577
A,167,3.627793191,-7.703358016,-4.075564824
A,168,0.588408347,-1.937510103,-1.349101756
A,169,0.12505549,-1.420868047,-1.295812558
A,170,-1.424340332,0.599490035,-0.824850297
A,171,-4.984472541,2.785273793,-2.199198748
A,172,1.821333056,-7.89663267,-6.075299615
A,173,-0.830761602,-1.708219368,-2.53898097
A,174,-1.018471336,-0.48096694,-1.499438275
A,175,6.662820207,-9.740213309,-3.077393102
A,176,2.420007266,-6.932577255,-4.512569989
A,177,3.169252149,-4.192412793,-1.023160644
A,178,0.279609307,-4.271586655,-3.991977348
A,179,9.83023179,-21.54021307,-11.70998128
A,180,-1.28412593,-0.619468974,-1.903594903
A,181,-0.310222961,-3.594129339,-3.9043523
A,182,-0.475621922,-2.992085277,-3.467707199
A,183,2.450659892,-7.805686239,-5.355026347
A,184,0.874916109,-4.512519666,-3.637603558
A,185,0.371657489,-4.180735602,-3.809078113
A,186,0.920169744,-5.665874678,-4.745704934
A,187,3.670528577,-6.794116214,-3.123587636
A,188,2.458624776,-6.851070647,-4.392445871
A,189,1.26601069,-4.256548376,-2.990537686
A,190,0.858468033,-4.411923249,-3.553455216
A,191,-0.342112792,-2.615316464,-2.957429256
A,193,1.705621005,-4.611788486,-2.906167481
A,194,4.548181633,-7.605630382,-3.057448749
A,195,6.52437838,-7.445951723,-0.921573342
A,196,7.57043389,-10.36119112,-2.790757229
A,197,4.570530324,-8.670624632,-4.100094308
A,198,7.399563927,-5.058475415,2.341088512
A,199,7.168616875,-6.527612679,0.641004196
A,200,7.297734289,-8.919142208,-1.621407919
A,201,8.26130786,-10.53595831,-2.274650445
A,202,-7.2328683,7.648572623,0.415704323
A,203,5.358048777,-7.334229728,-1.976180951
A,204,7.095331138,-8.788999554,-1.693668415
A,205,10.02015528,-12.86964912,-2.849493831
A,206,8.182241099,-10.23112333,-2.048882233
A,207,7.705957094,-9.792133227,-2.086176133
A,208,3.289980554,-10.27961842,-6.989637864
A,209,3.274292323,-4.204986695,-0.930694372
A,210,6.303628714,-8.224230135,-1.920601421
A,211,3.3735416,-7.292020676,-3.918479076
A,212,5.492794176,-7.7720028,-2.279208624
A,213,5.759791181,-8.475849333,-2.716058152
A,214,2.814157548,-6.131453378,-3.31729583
A,215,4.189911997,-6.697222678,-2.507310681
A,216,3.380663288,-6.095583132,-2.714919844
A,217,-3.516373552,-5.007482277,-8.523855829
A,218,-0.54081352,-5.361526432,-5.902339952
A,219,4.921026706,-8.390445646,-3.46941894
A,220,-0.245381058,-5.919137185,-6.164518243
A,221,3.23022127,-7.077015456,-3.846794186
A,222,5.452112199,-6.269107203,-0.816995004
A,223,3.775048007,-6.0231074,-2.248059393
A,224,7.250805902,-6.918774082,0.33203182
A,225,11.21404533,-13.08024034,-1.866195012
A,226,8.965458983,-6.213639885,2.751819097
A,227,14.11431844,-16.93643898,-2.822120548
A,228,10.93772504,-13.2962216,-2.358496567
A,229,8.620587631,-9.616592458,-0.996004827
A,230,9.920673245,-12.76911553,-2.848442289
A,231,4.977855646,-8.587208802,-3.609353156
A,232,5.204966615,-10.77476851,-5.569801895
A,233,6.478805989,-7.435856538,-0.957050548
A,234,3.832267323,-4.490247711,-0.657980388
A,235,6.199685448,-10.1156285,-3.915943048
A,236,0.994198417,-5.109014068,-4.114815651
A,237,6.134831339,-5.561216754,0.573614586
A,238,8.351111623,-9.768709893,-1.41759827
A,239,11.86249485,-13.51990132,-1.657406472
A,240,11.08660614,-13.28527498,-2.198668844
B,145,1.080828366,4.791212093,5.872040458
B,146,9.685060698,-8.933038281,0.752022417
B,147,1.265557684,1.287553781,2.553111466
B,148,3.096166131,-3.250593103,-0.154426971
B,149,1.446832218,4.471355728,5.918187946
B,152,8.374708837,-6.405252294,1.969456543
B,153,5.4585645,-5.714562547,-0.255998048
B,154,3.23694313,-2.784504457,0.452438673
B,155,12.67232745,-18.23035087,-5.558023429
B,156,4.859108757,-5.93659053,-1.077481773
B,157,1.655990469,1.200922715,2.856913183
B,158,5.271826167,-4.196407514,1.075418653
B,159,5.065050441,-5.940113463,-0.875063021
B,160,5.417377409,-4.90653584,0.51084157
B,161,7.615602243,-11.00472762,-3.389125379
B,162,6.147579084,-7.198804534,-1.05122545
B,163,3.969975672,-3.041893305,0.928082367
B,164,-3.795272445,3.879730918,0.084458472
B,165,-2.195460326,8.742349707,6.546889381
B,166,3.553279937,-4.111087106,-0.557807169
B,167,5.499048615,-7.277001594,-1.777952979
B,168,5.006029228,-5.248989728,-0.2429605
B,169,6.178012827,-7.130556042,-0.952543215
B,170,1.474561127,-2.613579456,-1.139018329
B,171,2.722319478,-4.226739858,-1.50442038
B,172,9.609066918,-7.823497474,1.785569443
B,173,6.847609388,-9.975326836,-3.127717448
B,174,8.977254804,-11.63877275,-2.661517942
B,175,5.128907957,-6.96821797,-1.839310014
B,176,10.36386087,-11.92884516,-1.56498429
B,177,2.533109844,-5.560829949,-3.027720106
B,178,5.483487503,-7.252728024,-1.769240521
B,179,2.171555768,-4.661604979,-2.490049211
B,180,-0.190098142,-2.034809304,-2.224907447
B,181,0.100542314,-3.100415608,-2.999873295
B,182,-0.863246319,-0.983256065,-1.846502384
B,183,3.628261928,-6.477492479,-2.849230551
B,184,4.273615005,-4.086410717,0.187204288
B,185,4.728559265,-9.685409775,-4.95685051
B,186,6.683079303,-10.2692012,-3.586121895
B,187,15.5702454,-15.25294104,0.317304358
B,188,4.917981885,-7.381431148,-2.463449263
B,189,5.129301098,-8.709558584,-3.580257486
B,190,3.85627691,-7.967060527,-4.110783617
B,191,-3.888022216,2.226178608,-1.661843608
B,193,1.228885114,-3.144367726,-1.915482612
B,194,9.254726902,-13.35121496,-4.096488059
B,195,5.823895423,-5.626047281,0.197848141
B,196,6.080838573,-6.559567738,-0.478729164
B,197,4.611819254,-6.990103308,-2.378284053
B,198,5.795090806,-4.86985818,0.925232626
B,199,6.778025343,-7.259721292,-0.481695949
B,200,5.33819997,-7.721539742,-2.383339772
B,201,4.650898524,-5.331093607,-0.680195082
B,202,3.091108995,-4.856996843,-1.765887847
B,203,1.543801983,-2.302062754,-0.75826077
B,204,5.361027172,-7.846357458,-2.485330286
B,205,3.166821398,-4.074389633,-0.907568235
B,206,6.027453127,-7.685466958,-1.658013831
B,207,6.865984461,-7.397163204,-0.531178744
B,208,1.629946449,-4.560971378,-2.93102493
B,209,5.871360919,-7.5735947,-1.702233782
B,210,4.36286204,-3.326113079,1.036748961
B,211,2.7177928,-3.698392373,-0.980599574
B,212,6.240794197,-7.357786399,-1.116992201
B,213,9.368219923,-12.87947237,-3.511252444
B,214,6.359035267,-5.175092049,1.183943218
B,215,3.852508568,-4.057453355,-0.204944788
B,216,6.951497083,-9.045411178,-2.093914095
B,217,3.459019268,-5.293305736,-1.834286467
B,218,3.561913604,-3.07844136,0.483472244
B,219,8.273860409,-10.29663899,-2.022778585
B,220,5.289123087,-2.857925026,2.431198062
B,221,9.938671359,-13.80651914,-3.867847782
B,222,6.379436706,-10.3793943,-3.999957594
B,223,2.818795525,-3.538764733,-0.719969207
B,224,7.781019286,-6.170346856,1.610672429
B,225,5.781191151,-6.215460834,-0.434269683
B,226,8.678119859,-10.2529787,-1.574858842
B,227,8.04332271,-11.185886,-3.142563287
B,228,6.930783003,-9.087784335,-2.157001332
B,229,6.724089103,-8.737989328,-2.013900225
B,230,6.728503782,-8.796673188,-2.068169406
B,231,-15.97503541,24.44707723,8.472041822
B,232,3.625892718,-6.418951217,-2.793058499
B,233,4.990520258,-5.262027717,-0.271507459
B,234,8.192760244,-10.13230851,-1.939548263
B,235,5.01091968,-7.90834312,-2.89742344
B,236,7.306363363,-7.1455091,0.160854263
B,237,10.13120146,-13.62292833,-3.491726863
B,238,8.720369289,-11.99615784,-3.275788556
B,239,5.29855995,-7.332993282,-2.034433332
B,240,7.327224899,-7.74602453,-0.418799631
C,145,3.073209547,0.216988368,3.290197915
C,146,9.332177406,-5.037510721,4.294666685
C,147,9.052896664,-2.727855378,6.325041286
C,148,9.56866483,-1.428261213,8.140403617
C,149,3.91477344,-2.554254033,1.360519407
C,150,2.925238122,0.833938367,3.759176489
C,151,0.995536717,1.027168332,2.022705048
C,152,2.744070196,0.276854809,3.020925006
C,153,2.182709724,-2.462434599,-0.279724875
C,154,1.746409177,0.547776643,2.29418582
C,155,5.321259569,-2.069620905,3.251638664
C,156,4.516133681,-1.871380153,2.644753528
C,157,3.496667009,-1.17395562,2.322711389
C,158,3.560921376,-1.560600439,2.000320937
C,159,4.003082188,-2.864112544,1.138969644
C,160,3.134767859,-1.136541048,1.998226811
C,161,4.396212982,-5.398123498,-1.001910516
C,162,7.709193667,-5.333177716,2.376015951
C,163,9.23491143,-5.295958947,3.938952483
C,165,3.337492073,0.12839917,3.465891243
C,166,5.019897379,-3.132015379,1.887882
C,167,5.809522344,-2.855276461,2.954245884
C,168,5.61131488,-3.479801209,2.131513671
C,169,4.651889414,-2.270584737,2.381304676
C,170,3.672553811,-2.22640427,1.446149541
C,171,2.707054157,-2.04683593,0.660218227
C,172,5.463520006,-4.860339644,0.603180361
C,173,3.382189704,-2.460624687,0.921565017
C,174,1.836430858,-4.03352936,-2.197098502
C,175,4.394382931,-4.321207749,0.073175182
C,176,5.77344219,-4.837004261,0.936437929
C,177,8.742768283,-7.952998157,0.789770125
C,178,0.665416108,-0.330657193,0.334758915
C,179,1.157331736,-0.204236652,0.953095084
C,180,5.525466825,-3.70836554,1.817101286
C,181,2.864849191,-1.981931145,0.882918046
C,182,0.053231354,-0.455138248,-0.401906894
C,183,4.792687409,-5.400830785,-0.608143376
C,184,7.099209479,-2.629931936,4.469277543
C,185,7.824104208,-6.949772569,0.874331639
C,186,5.131280691,-4.616476633,0.514804059
C,187,5.419122238,-6.002047339,-0.582925102
C,188,7.628121796,-8.08267571,-0.454553914
C,189,4.007777287,-5.040724079,-1.032946793
C,190,3.867900806,-4.392558338,-0.524657531
C,191,4.978236556,-7.732191262,-2.753954706
C,192,9.406241784,-13.96358,-4.557338216
C,193,3.259907278,-1.248162881,2.011744397
C,194,5.642592076,-7.137778128,-1.495186052
C,195,6.106560289,-6.354658405,-0.248098116
C,196,6.21108708,-5.511522141,0.699564939
C,197,5.95253474,-9.02852908,-3.07599434
C,198,2.513141753,-5.903410925,-3.390269171
C,199,-0.578155735,2.527995734,1.949839998
C,200,4.400173698,-4.965101485,-0.564927787
C,201,3.706264394,-4.328112496,-0.621848102
C,202,2.158781917,-4.148191237,-1.989409321
C,203,5.364086968,-7.469558724,-2.105471756
C,204,2.153142262,-4.944329908,-2.791187646
C,205,3.244598692,-5.464615416,-2.220016724
C,206,4.896002328,-8.466119691,-3.570117363
C,207,3.363387659,-3.915756418,-0.552368759
C,208,2.71596083,-4.994508527,-2.278547697
C,209,4.661266819,-7.714355956,-3.053089137
