pond,spp,length,weight,mortality,source,doy,experiment
A,BLG,131,46,N,BC,127,pre
A,BLG,151,70,N,BC,127,pre
A,BLG,151,70,N,BC,127,pre
A,BLG,116,30,N,BC,127,pre
A,BLG,112,28,N,BC,127,pre
A,BLG,125,34,N,BC,127,pre
A,BLG,154,76,N,BC,127,pre
A,BLG,115,30,N,BC,127,pre
A,BLG,156,82,N,BC,127,pre
A,BLG,105,22,N,BC,127,pre
A,BLG,145,56,N,BC,127,pre
A,BLG,95,16,N,BC,127,pre
A,BLG,105,24,N,BC,127,pre
A,BLG,120,36,N,BC,127,pre
A,BLG,120,36,N,BC,127,pre
A,BLG,145,62,N,BC,127,pre
A,BLG,135,32,N,BC,127,pre
A,BLG,110,30,Y,FI,128,pre
A,BLG,115,36,N,BC,127,pre
A,BLG,120,32,N,BC,127,pre
A,BLG,105,20,N,BC,127,pre
A,BLG,105,22,N,BC,127,pre
A,BLG,110,26,N,BC,127,pre
A,BLG,105,24,N,BC,127,pre
A,BLG,150,64,N,BC,127,pre
A,BLG,140,50,N,BC,127,pre
B,BLG,140,56,N,BC,127,pre
B,BLG,110,22,N,BC,127,pre
B,BLG,150,64,N,BC,127,pre
B,BLG,115,32,N,BC,127,pre
B,BLG,130,46,N,BC,127,pre
B,BLG,115,32,N,BC,127,pre
B,BLG,145,64,N,BC,127,pre
B,BLG,135,48,N,BC,127,pre
B,BLG,152,66,N,BC,127,pre
B,BLG,100,16,N,BC,127,pre
B,BLG,120,30,N,BC,127,pre
B,BLG,145,56,N,BC,127,pre
B,BLG,146,70,N,BC,127,pre
B,BLG,135,46,N,FI,128,pre
B,BLG,105,20,N,FI,128,pre
B,BLG,135,58,N,FI,128,pre
B,BLG,110,32,N,FI,128,pre
B,BLG,130,50,N,FI,128,pre
B,BLG,125,38,N,FI,128,pre
B,BLG,120,36,N,FI,128,pre
B,BLG,125,48,N,FI,128,pre
B,BLG,120,40,N,FI,128,pre
B,BLG,130,26,N,FI,128,pre
B,BLG,115,28,N,FI,128,pre
B,BLG,100,26,N,FI,128,pre
C,BLG,115,30,N,BC,127,pre
C,BLG,119,24,N,BC,127,pre
C,BLG,150,72,N,BC,127,pre
C,BLG,150,72,N,BC,127,pre
C,BLG,115,22,N,BC,127,pre
C,BLG,110,24,Y,BC,127,pre
C,BLG,150,68,N,BC,127,pre
C,BLG,145,76,N,BC,127,pre
C,BLG,110,18,N,BC,127,pre
C,BLG,110,24,N,BC,127,pre
C,BLG,105,20,N,BC,127,pre
C,BLG,110,22,N,BC,127,pre
C,BLG,145,64,N,BC,127,pre
C,BLG,135,60,N,FI,128,pre
C,BLG,105,26,N,FI,128,pre
C,BLG,125,48,Y,FI,128,pre
C,BLG,115,30,N,FI,128,pre
C,BLG,135,60,N,FI,128,pre
C,BLG,120,24,N,FI,128,pre
C,BLG,135,54,N,FI,128,pre
C,BLG,105,30,N,FI,128,pre
C,BLG,115,26,N,FI,128,pre
C,BLG,115,28,N,FI,128,pre
C,BLG,115,30,N,FI,128,pre
C,BLG,100,24,N,FI,128,pre
C,BLG,115,30,N,FI,128,pre
C,BLG,145,55,N,BC,127,pre
C,BLG,115,24,N,BC,127,pre
D,BLG,125,38,N,BC,127,pre
D,BLG,110,26,N,BC,127,pre
D,BLG,150,72,N,BC,127,pre
D,BLG,105,18,N,BC,127,pre
D,BLG,106,26,N,BC,127,pre
D,BLG,135,52,N,BC,127,pre
D,BLG,125,30,N,BC,127,pre
D,BLG,131,42,N,BC,127,pre
D,BLG,110,24,N,BC,127,pre
D,BLG,110,24,N,BC,127,pre
D,BLG,125,44,N,BC,127,pre
D,BLG,120,34,N,BC,127,pre
D,BLG,135,48,N,BC,127,pre
D,BLG,145,72,N,FI,128,pre
D,BLG,105,30,N,FI,128,pre
D,BLG,105,28,N,FI,128,pre
D,BLG,105,30,Y,FI,128,pre
D,BLG,136,66,N,FI,128,pre
D,BLG,105,24,N,FI,128,pre
D,BLG,115,32,N,FI,128,pre
D,BLG,120,44,N,FI,128,pre
D,BLG,115,36,N,FI,128,pre
D,BLG,138,62,N,FI,128,pre
D,BLG,130,56,N,FI,128,pre
D,BLG,105,20,N,FI,128,pre
D,BLG,125,40,N,FI,128,pre
D,BLG,130,38,N,BC,127,pre
E,BLG,112,24,N,BC,127,pre
E,BLG,135,46,N,BC,127,pre
E,BLG,110,22,N,BC,127,pre
E,BLG,115,30,N,BC,127,pre
E,BLG,130,40,N,BC,127,pre
E,BLG,132,50,N,BC,127,pre
E,BLG,110,28,N,BC,127,pre
E,BLG,105,20,N,BC,127,pre
E,BLG,135,44,N,BC,127,pre
E,BLG,105,20,N,BC,127,pre
E,BLG,105,20,N,BC,127,pre
E,BLG,115,26,N,BC,127,pre
E,BLG,115,24,N,BC,127,pre
E,BLG,135,46,N,BC,127,pre
E,BLG,140,50,N,BC,127,pre
E,BLG,150,62,N,BC,127,pre
E,BLG,125,48,N,BC,127,pre
E,BLG,120,36,N,BC,127,pre
E,BLG,130,38,N,BC,127,pre
E,BLG,140,60,N,BC,127,pre
E,BLG,130,56,N,BC,127,pre
E,BLG,125,50,N,BC,127,pre
E,BLG,105,32,N,BC,127,pre
E,BLG,135,52,N,BC,127,pre
E,BLG,125,40,N,BC,127,pre
E,BLG,140,60,N,BC,127,pre
F,BLG,105,24,N,BC,127,pre
F,BLG,120,36,N,BC,127,pre
F,BLG,140,58,N,BC,127,pre
F,BLG,110,24,N,BC,127,pre
F,BLG,110,22,N,BC,127,pre
F,BLG,120,32,N,BC,127,pre
F,BLG,100,16,N,BC,127,pre
F,BLG,105,18,N,BC,127,pre
F,BLG,120,30,N,BC,127,pre
F,BLG,110,16,N,BC,127,pre
F,BLG,100,16,N,BC,127,pre
F,BLG,105,20,Y,BC,127,pre
F,BLG,100,18,N,BC,127,pre
F,BLG,150,72,N,FI,128,pre
F,BLG,125,44,N,FI,128,pre
F,BLG,125,40,N,FI,128,pre
F,BLG,135,44,N,FI,128,pre
F,BLG,145,48,N,FI,128,pre
F,BLG,125,30,N,FI,128,pre
F,BLG,135,52,N,FI,128,pre
F,BLG,130,52,N,FI,128,pre
F,BLG,135,56,N,FI,128,pre
F,BLG,145,72,N,FI,128,pre
F,BLG,145,76,N,FI,128,pre
F,BLG,120,46,N,FI,128,pre
F,BLG,125,42,N,FI,128,pre
F,BLG,125,38,N,BC,127,pre
A,YEP,146,54,N,BC,99,pre
A,YEP,156,52,N,BC,99,pre
A,YEP,165,66,N,BC,99,pre
A,YEP,153,48,N,BC,99,pre
A,YEP,159,60,N,BC,99,pre
A,YEP,155,62,N,BC,99,pre
A,YEP,145,42,N,BC,99,pre
A,YEP,139,34,N,BC,99,pre
A,YEP,170,62,N,BC,99,pre
A,YEP,150,44,N,BC,99,pre
A,YEP,125,22,N,BC,99,pre
A,YEP,156,44,N,BC,99,pre
A,YEP,155,44,N,BC,99,pre
A,YEP,176,72,N,BC,99,pre
A,YEP,170,60,N,BC,99,pre
A,YEP,175,70,N,BC,99,pre
A,YEP,150,38,N,BC,99,pre
A,YEP,140,34,N,BC,99,pre
A,YEP,165,58,N,BC,127,pre
A,YEP,135,30,N,BC,127,pre
B,YEP,190,110,N,BC,99,pre
B,YEP,160,66,N,BC,99,pre
B,YEP,170,68,Y,BC,99,pre
B,YEP,155,54,N,BC,99,pre
B,YEP,155,52,N,BC,99,pre
B,YEP,145,42,Y,BC,99,pre
