pond,treatment,doy,fish_id,length,weight,diet_id,broad_taxa,abundance
F,reference,253,yep,187,94,cyclopoida,zoop,2
F,reference,253,yep,187,94,longleaf_pweed,macrophyte,1
D,reference,247,blg,175,140,diaphanosoma,zoop,1
D,reference,247,blg,175,140,invert head,benthos,1
D,reference,247,blg,156,92,copepod,zoop,2
D,reference,247,blg,156,92,nauplii,zoop,1
D,reference,247,blg,156,92,asplanchna,zoop,1
D,reference,247,blg,156,92,mosquito/phantom midge,benthos,2
D,reference,247,yep,212,102,mite,benthos,1
D,reference,247,yep,212,102,benthos,benthos,2
D,reference,247,yep,212,102,juv fish,fish,2
C,pulsed,246,blg,171,128,physidae,benthos,6
C,pulsed,246,blg,171,128,cladoceran,zoop,2
C,pulsed,246,blg,171,128,ephemenoptera,benthos,2
A,pulsed,244,blg,160,84,copepod,zoop,1
A,pulsed,244,blg,160,84,plant chunks,macrophyte,7
A,pulsed,244,blg,160,84,chironomid,benthos,2
A,pulsed,244,blg,160,84,L. Frog egg tube tract,frog,2
D,reference,247,lmb,368,980,mess of digested material,unknown,1
D,reference,247,lmb,368,980,lots of spirogyra,macrophyte,1
D,reference,247,lmb,368,980,chironomid,benthos,6
A,pulsed,244,yep,195,na,juv fish,fish,2
A,pulsed,244,yep,195,na,benthos,benthos,3
B,pulsed,246,blg,175,128,plant material,macrophyte,1
B,pulsed,246,blg,175,128,frog eggs + tracts,frog,1
B,pulsed,246,blg,175,128,pomph,zoop,2
B,pulsed,246,blg,175,128,Cladoceran,NA,1
B,pulsed,246,blg,175,128,Keratella,zoop,1
B,pulsed,246,blg,175,128,Ostracods,zoop,2
B,pulsed,246,blg,175,128,benthos,benthos,1
F,reference,253,yep,180,78,plant material,macrophyte,1
F,reference,253,yep,180,78,benthos,benthos,1
C,pulsed,245,blg,165,106,cyclopoidalopoida,zoop,1
C,pulsed,245,blg,165,106,physidae,benthos,6
C,pulsed,245,blg,165,106,plant material,macrophyte,3
E,reference,252,yep,187,84,plant material,macrophyte,1
E,reference,252,yep,187,84,chironomid,benthos,1
E,reference,252,yep,187,84,oligochaete,benthos,1
E,reference,252,yep,187,84,benthos,benthos,1
F,reference,253,blg,179,136,phantom midge,benthos,28
F,reference,253,blg,179,136,plant material,macrophyte,2
F,reference,253,blg,179,136,cladoceran,zoop,3
F,reference,253,blg,179,136,copepod,zoop,1
F,reference,253,blg,179,136,rotifer,zoop,1
E,reference,252,yep,187,90,chironomid,benthos,1
E,reference,252,blg,186,182,physidae,benthos,1
E,reference,252,blg,186,182,plant material,macrophyte,1
E,reference,252,blg,186,182,frog eggs + tracts,frog,1
D,reference,267,blg,175,128,physidae,benthos,1
D,reference,267,blg,175,128,plant material,macrophyte,3
D,reference,247,blg,162,103,plant material,macrophyte,2
D,reference,247,blg,162,103,chironomid,benthos,2
B,pulsed,246,blg,161,94,chironomid,benthos,26
B,pulsed,246,blg,161,94,benthos,benthos,2
B,pulsed,246,blg,161,94,plant material,macrophyte,2
B,pulsed,246,blg,161,94,rotifer,zoop,4
B,pulsed,246,blg,161,94,ostracods,NA,1
B,pulsed,246,blg,161,94,cladoceran,zoop,1
B,pulsed,246,blg,161,94,unknown,unknown,1
C,pulsed,246,blg,166,88,physidae,benthos,1
C,pulsed,246,blg,166,88,chironomid,benthos,2
C,pulsed,246,blg,166,88,benthos,benthos,2
C,pulsed,246,blg,166,88,plant material,macrophyte,1
C,pulsed,246,blg,166,88,mite,benthos,1
A,pulsed,244,blg,155,88,chironomid,benthos,26
A,pulsed,244,blg,155,88,benthos,benthos,2
A,pulsed,244,blg,155,88,plant material,macrophyte,1
A,pulsed,244,blg,155,88,frog eggs + tracts,frog,1
A,pulsed,244,blg,155,88,mosquito larvae,benthos,1
A,pulsed,244,blg,175,na,plant material,macrophyte,1
A,pulsed,244,blg,175,na,frog eggs + tracts,frog,1
