pond_id,treatment,period,doy,dosat_dailyavg
A,pulsed,BASE,142,138.9114366
B,pulsed,BASE,142,143.0224759
C,pulsed,BASE,142,138.0841614
D,reference,BASE,142,127.708045
E,reference,BASE,142,134.8696098
F,reference,BASE,142,129.65846
A,pulsed,BASE,143,159.0102757
B,pulsed,BASE,143,142.5479772
C,pulsed,BASE,143,141.4850987
D,reference,BASE,143,125.0319542
E,reference,BASE,143,136.8657375
F,reference,BASE,143,134.0603418
A,pulsed,BASE,144,167.2936858
B,pulsed,BASE,144,145.1186511
C,pulsed,BASE,144,141.0088108
D,reference,BASE,144,135.0219479
E,reference,BASE,144,142.5290497
F,reference,BASE,144,138.4332656
A,pulsed,BASE,145,164.1827766
B,pulsed,BASE,145,154.1887282
C,pulsed,BASE,145,147.3338275
D,reference,BASE,145,135.4222357
E,reference,BASE,145,144.94192
F,reference,BASE,145,138.9559595
A,pulsed,BASE,146,161.7049088
B,pulsed,BASE,146,114.5950066
C,pulsed,BASE,146,141.3674788
D,reference,BASE,146,133.8189904
E,reference,BASE,146,151.2842195
F,reference,BASE,146,136.6201653
A,pulsed,BASE,147,160.3300414
B,pulsed,BASE,147,122.1494148
C,pulsed,BASE,147,137.9969454
D,reference,BASE,147,120.8829301
E,reference,BASE,147,143.8124676
F,reference,BASE,147,129.6714694
A,pulsed,BASE,148,161.8385618
B,pulsed,BASE,148,125.934511
C,pulsed,BASE,148,146.2756277
D,reference,BASE,148,123.058561
E,reference,BASE,148,147.1688113
F,reference,BASE,148,134.6500906
A,pulsed,BASE,149,146.0361771
B,pulsed,BASE,149,112.7275347
C,pulsed,BASE,149,149.5589881
D,reference,BASE,149,121.5206487
E,reference,BASE,149,138.8052706
F,reference,BASE,149,135.4560312
A,pulsed,BASE,150,147.3182124
B,pulsed,BASE,150,134.9732797
C,pulsed,BASE,150,160.6724616
D,reference,BASE,150,140.6749636
E,reference,BASE,150,123.8352787
F,reference,BASE,150,165.0793675
A,pulsed,BASE,151,103.4388431
B,pulsed,BASE,151,114.025317
C,pulsed,BASE,151,173.5045285
D,reference,BASE,151,155.9819578
E,reference,BASE,151,147.5237108
F,reference,BASE,151,185.9080259
A,pulsed,BASE,152,151.0558417
B,pulsed,BASE,152,130.2858908
C,pulsed,BASE,152,181.407578
D,reference,BASE,152,154.7631682
E,reference,BASE,152,154.7769119
F,reference,BASE,152,185.5539005
A,pulsed,BASE,153,154.4051782
B,pulsed,BASE,153,135.6363991
C,pulsed,BASE,153,170.1492466
D,reference,BASE,153,163.3598704
E,reference,BASE,153,162.8431665
F,reference,BASE,153,187.0487423
A,pulsed,BASE,154,142.696544
B,pulsed,BASE,154,133.2554034
C,pulsed,BASE,154,166.2695056
D,reference,BASE,154,173.0672685
E,reference,BASE,154,170.6079662
F,reference,BASE,154,197.3601892
A,pulsed,BASE,155,138.6389128
B,pulsed,BASE,155,108.8785217
C,pulsed,BASE,155,168.8423248
D,reference,BASE,155,175.645264
E,reference,BASE,155,167.9638005
F,reference,BASE,155,203.5124324
A,pulsed,BASE,156,126.6762825
B,pulsed,BASE,156,107.6579125
C,pulsed,BASE,156,168.9100178
D,reference,BASE,156,178.5541568
E,reference,BASE,156,168.6273223
F,reference,BASE,156,182.6653969
A,pulsed,BASE,157,116.0832251
B,pulsed,BASE,157,107.1155633
C,pulsed,BASE,157,171.6551057
D,reference,BASE,157,169.1339098
E,reference,BASE,157,163.003141
F,reference,BASE,157,179.6115743
A,pulsed,BASE,158,114.4504294
