pond_id,treatment,period,doy,temp,do_sat,do,ph,chla_rfu,chla,cond,sp_cond,phyco_rfu,phyco,salinity,cyanofluor_chl,tp,tp_flag,srp,srp_flag,tn,tn_flag,nox,nox_flag,nhx,nhx_flag
A,pulsed,BASE,142,16.38888889,173.13,16.934,8.797,8.315,29.99,271.18,324.6,0.557,0.554,0.16,5637.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,143,16.22222222,124.4,12.21571429,8.92,5.125714286,18.47428571,278.2857143,334.4857143,0.825714286,0.708571429,0.16,4541.7,43.2,NA,0.1,b,0.2484,NA,0.042644,NA,NA,NA
A,pulsed,BASE,144,17.24509804,163.4647059,15.7,9.344117647,3.339411765,12.01882353,280.1,328.7647059,0.320588235,0.419411765,0.16,6286.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,145,17.74131944,172.04375,16.3565625,9.064375,3.04625,10.96125,277.515625,322.16875,0.2409375,0.375625,0.15125,5592.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,146,19.32444444,182.04,16.7456,8.9052,2.5748,10.4536,269.4,302.108,0.1972,0.0164,0.1424,1255,33.95,NA,0.1,b,0.427385,NA,0.026329,NA,NA,NA
A,pulsed,BASE,147,20.2979798,143.7,12.97545455,8.75,2.325454545,9.462727273,237.2272727,260.6363636,0.072727273,-0.065454545,0.12,1822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,148,20.76049383,162.1844444,14.50533333,8.856222222,1.838888889,7.549777778,255.4755556,277.98,0.014444444,-0.102,0.132444444,2255.2,31.5,NA,0.1,b,0.0483,NA,0.043632,NA,0.1,b
A,pulsed,BASE,149,21.92528736,129.7034483,11.35241379,8.70862069,1.976551724,8.080689655,237.7103448,252.5517241,0.080689655,-0.058275862,0.12,3641.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,150,20.4002849,159.8923077,14.41205128,8.83,1.173076923,4.912564103,248.825641,272.7871795,-0.002051282,-0.113076923,0.13,2000,40.5,NA,0.1,b,0.069543,NA,0.051769,NA,NA,NA
A,pulsed,BASE,151,20.72222222,167.0714286,14.96257143,8.93,2.573428571,10.44571429,259.86,282.9171429,0.154,-0.011142857,0.13,2068.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,152,20.76310273,159.9490566,14.31641509,8.750943396,1.393962264,5.787735849,255.7150943,278.2622642,0.051698113,-0.077358491,0.13,1776.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,153,19.94444444,148.76875,13.53625,8.76,0.9125,3.88875,253.50625,280.69375,-0.181875,-0.23,0.13,928.18,234.45,NA,0.1,b,0.19521,NA,0.1,b,NA,NA
A,pulsed,BASE,154,22.00555556,135.84,11.8655,8.4345,0.442,2.0325,260.555,276.355,-0.1305,-0.1955,0.13,728.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,155,24.03703704,125.3777778,10.54166667,8.599444444,0.593888889,2.627777778,268.9333333,273.9944444,0.022777778,-0.096111111,0.13,1163.3,23.75,NA,0.1,b,0.19158,NA,0.08038,NA,0.05675,NA
A,pulsed,BASE,156,24.9382716,131.7333333,10.88944444,8.32,0.614444444,2.705277778,290.3555556,290.6833333,-0.171944444,-0.222777778,0.14,845.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,157,25.69444444,122.1884615,9.961730769,8.366923077,0.534038462,2.390576923,299.6942308,295.775,-0.238269231,-0.264807692,0.14,503.55,30.2,NA,0.1,b,0.307475,NA,0.0336375,NA,NA,NA
A,pulsed,BASE,158,25.55555556,121.2952381,9.913333333,8.51,0.298571429,1.465238095,306.8238095,303.5666667,-0.323333333,-0.321904762,0.14,601.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,159,24.77777778,109,9.033703704,8.754814815,0.261111111,1.315185185,304.9,306.1703704,-0.25037037,-0.272592593,0.15,614.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,160,25.22222222,111.03125,9.130208333,8.707083333,0.355833333,1.688333333,301.8458333,300.5166667,-0.192291667,-0.235833333,0.14,561.64,28.3,NA,0.1,b,0.30486,NA,0.160735,NA,NA,NA
A,pulsed,BASE,161,25.06280193,97.38043478,8.032391304,8.64,0.436086957,2.006521739,304.6956522,304.3456522,-0.231521739,-0.261086957,0.14,749.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,162,23.05555556,61.70612245,5.282653061,8.08122449,0.502040816,2.267346939,303.9673469,315.6265306,-0.213061224,-0.249387755,0.15,1059.5,31.85,NA,0.1,b,0.269645,NA,0.05775,NA,0.056,NA
A,pulsed,BASE,163,22.05555556,57.55490196,5.021764706,8.12,0.452941176,2.068431373,308.1568627,326.4529412,-0.163137255,-0.216078431,0.159411765,714.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,164,22.33459596,72.00454545,6.250227273,8.17375,0.526363636,2.362954545,309.7443182,326.3681818,-0.192045455,-0.234886364,0.16,817.78,37.65,NA,0.25,NA,0.226775,NA,0.1974,NA,NA,NA
A,pulsed,BASE,165,23.12152778,91.13125,7.791875,8.5965625,0.693125,3.023125,304.8625,316.1875,-0.2065625,-0.24375,0.15,1527.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,166,22.05277778,77.5,6.7645,8.26,0.557,2.4845,312.155,330.865,-0.1905,-0.232,0.16,1468.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,167,21.60277778,77.21,6.7985,8.73,0.82,3.525,311.545,333.24,-0.0765,-0.16,0.16,1835.3,42.5,NA,4.2,NA,0.25586,NA,0.180085,NA,NA,NA
A,pulsed,BASE,168,22,88.13333333,7.69969697,10.29242424,0.988787879,4.184848485,305.9909091,324.6060606,-0.067575758,-0.154242424,0.15,1003.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,169,22.11791383,87.0755102,7.59,9.482040816,0.930408163,3.956326531,307.2836735,325.2122449,-0.195306122,-0.237755102,0.151836735,1008.1,NA,NA,1.65,NA,0.42235,NA,0.20842,NA,0.1,b
A,pulsed,BASE,170,22.71031746,89.13333333,7.678809524,8.41,0.89452381,3.817619048,307.2952381,321.3142857,-0.149285714,-0.207380952,0.15,1654.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,171,23.48798799,87.06756757,7.393243243,8.537567568,2.152432432,8.787837838,303.8459459,312.8432432,-0.028918919,-0.130540541,0.15,3507.9,40.2,NA,1.6,NA,0.212545,NA,0.001047,NA,NA,NA
A,pulsed,BASE,172,23.647343,76.39565217,6.469130435,9.204782609,3.893913043,15.66086957,307.426087,315.6304348,0.056956522,-0.074782609,0.15,4171.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,173,24.08201058,81.4,6.834761905,9.3,1.438095238,5.964285714,311.2380952,316.8,-0.175714286,-0.224761905,0.15,1494.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,BASE,174,23.72222222,60.08125,5.08125,8.61,1.271875,5.303125,314.4625,322.3625,-0.21375,-0.25,0.15,2146.6,37.4,NA,0.1,b,0.13582,NA,0.131715,NA,NA,NA
A,pulsed,BASE,175,22.03769841,42.13571429,3.6775,9.07,1.442142857,5.980357143,307.7607143,326.2214286,-0.140357143,-0.2025,0.16,2444.6,41.6,NA,1.3,NA,0.27924,NA,0.070822,NA,NA,NA
A,pulsed,PULSE1,176,21.81777778,43.96,3.854,9.5612,1.4508,6.0108,305.096,324.864,-0.17,-0.2216,0.1516,2723.6,48.95,NA,5.9,NA,0.29057500000000003,NA,0.244595,NA,0.1,b
A,pulsed,PULSE1,177,22.3245614,52.71052632,4.576052632,11.19,2.053947368,8.395263158,305.85,322.3421053,-0.132631579,-0.195789474,0.15,1306.3,42.25,NA,0.25,NA,0.424785,NA,0.1,b,NA,NA
A,pulsed,PULSE1,178,23.65343915,39.49047619,3.343333333,12.50142857,2.235238095,9.106666667,311.347619,319.5761905,0.001904762,-0.108095238,0.15,2584.5,27.95,NA,0.85,NA,0.17579,NA,0.1,b,NA,NA
A,pulsed,PULSE1,179,24.33974359,31.40769231,2.625,14.39576923,1.724615385,7.096538462,323.3076923,327.4115385,0.010769231,-0.103076923,0.16,2822.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,180,24.58333333,48.36153846,4.024230769,13.62269231,1.433846154,5.946153846,320.1,322.6730769,-0.245,-0.269230769,0.15,5341.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,181,25.10526316,35.44736842,2.921578947,16.26,2.476315789,10.06,330.5,329.8526316,-0.104210526,-0.177894737,0.16,3005.3,50.65,NA,0.1,b,0.30243,NA,0.06865,NA,NA,NA
A,pulsed,PULSE1,182,25.54301075,25.37096774,2.073870968,14.37064516,1.284193548,5.356451613,334.6290323,331.1612903,-0.187419355,-0.232580645,0.16,1557.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,183,24.96759259,41.49583333,3.427916667,16.26,1.936666667,7.93,330.5583333,330.7375,-0.194166667,-0.235833333,0.16,1568.8,47.9,NA,0.1,b,0.42773,NA,0.1,b,0.00965,NA
A,pulsed,PULSE1,184,24.72222222,32.475,2.6946875,16.27,1.2859375,5.36125,336.25625,337.940625,-0.176875,-0.224375,0.16,1304.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,185,25.41183575,36.27608696,2.972826087,16.03,1.746521739,7.179565217,342.2608696,339.6065217,-0.198695652,-0.239782609,0.16,1836.3,49.25,NA,0.7,NA,0.47162,NA,0.20554,NA,NA,NA
A,pulsed,PULSE1,186,25.40322581,31.13225806,2.551612903,16.25,1.154193548,4.840322581,345.27096770000003,342.6483871,-0.20516129,-0.244516129,0.16,2643.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,187,25.89111111,37.708,3.0632,16.234,1.0908,4.5912,354.932,348.996,-0.1448,-0.2048,0.17,1509.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,PULSE1,188,25.66666667,42.16538462,3.439230769,16.24,1.953846154,7.995384615,355.1423077,350.6461538,-0.174230769,-0.225,0.17,2059,55.9,NA,0.15,NA,0.41786,NA,0.121505,NA,NA,NA
A,pulsed,PULSE1,189,26.47222222,42.51111111,3.417222222,16.22,2.772777778,11.23277778,360.8888889,351.0055556,-0.145,-0.205,0.17,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
