Run,RunDate,sampleID,pondID,doy,TOC_ppb,IC_ppb,flag_IC,TC_ppb
Dec,12/9/2021,BLANK,,,59.3,207,,266
Dec,12/9/2021,BLANK,,,53.3,188,,241
Dec,12/9/2021,E20E143,E,143,39500,185,,39700
Dec,12/9/2021,E20E146,E,146,17800,184,,18000
Dec,12/9/2021,E20E148,E,148,6300,216,,6520
Dec,12/9/2021,E20E150,E,150,6530,226,,6750
Dec,12/9/2021,E20F146,F,146,6710,226,,6940
Dec,12/9/2021,E20F143,F,143,6110,228,,6340
Dec,12/9/2021,E20F148,F,148,5330,198,,5530
Dec,12/9/2021,E20F150,F,150,5730,188,,5920
Dec,12/9/2021,E20D143,D,143,6120,191,,6310
Dec,12/9/2021,E20D146,D,146,7010,186,,7200
Dec,12/9/2021,E20D148,D,148,6230,183,,6410
Dec,12/9/2021,E20D150,D,150,7260,185,,7440
Dec,12/9/2021,BLANK,,,108,181,,289
1,1/21/2022 14:51,BLANK,,,45.9,83.4,,129
1,1/21/2022 15:19,BLANK,,,57.8,78.2,,136
1,1/21/2022 15:47,A143,A,143,7500,260,,7760
1,1/21/2022 16:16,A146,A,146,23900,242,,24100
1,1/21/2022 16:44,A148,A,148,7160,256,,7420
1,1/21/2022 17:12,A150,A,150,7190,572,a,7760
1,1/21/2022 17:41,A153,A,153,7500,225,,7730
1,1/21/2022 18:09,A155,A,155,16200,204,,16400
1,1/21/2022 18:37,A157,A,157,8090,232,,8320
1,1/21/2022 19:06,A160,A,160,8420,301,,8720
1,1/21/2022 19:34,A162,A,162,8420,1260,a,9680
1,1/21/2022 20:02,A164,A,164,8710,237,,8950
1,1/21/2022 20:31,A167,A,167,9240,227,,9470
1,1/21/2022 20:59,A169,A,169,9260,230,,9490
1,1/21/2022 21:27,BLANK,,,118,66,,184
1,1/21/2022 21:56,A171,A,171,9900,299,,10200
1,1/21/2022 22:24,A174,A,174,38600,206,,38800
1,1/21/2022 22:52,A175,A,175,16700,199,,16900
1,1/21/2022 23:21,A176,A,176,27500,204,,27700
1,1/21/2022 23:49,A177,A,177,16800,202,,17000
1,1/22/2022 0:18,A178,A,178,17100,208,,17300
1,1/22/2022 0:46,A181,A,181,18600,200,,18800
1,1/22/2022 1:14,A183,A,183,22200,202,,22400
1,1/22/2022 1:43,A185,A,185,14900,199,,15100
1,1/22/2022 2:11,A188,A,188,18100,205,,18300
1,1/22/2022 2:39,A190,A,190,22700,207,,22900
1,1/22/2022 3:08,A192,A,192,22900,209,,23100
1,1/22/2022 3:36,BLANK,,,148,73.2,,222
1,1/22/2022 4:05,A195,A,195,23100,203,,23300
1,1/22/2022 4:33,A197,A,197,18800,202,,19000
1,1/22/2022 5:02,A199,A,199,15700,198,,15900
1,1/22/2022 5:30,A202,A,202,27800,204,,28000
1,1/22/2022 5:58,A204,A,204,21700,201,,21900
1,1/22/2022 6:27,A206,A,206,20000,200,,20200
1,1/22/2022 6:55,A209,A,209,31700,208,,31900
1,1/22/2022 7:23,A210,A,210,18400,204,,18600
1,1/22/2022 7:52,A211,A,211,18400,201,,18600
1,1/22/2022 8:20,A212,A,212,26300,207,,26500
1,1/22/2022 8:48,A213,A,213,25300,206,,25500
1,1/22/2022 9:17,A216,A,216,19900,230,,20100
1,1/22/2022 9:45,BLANK,,,164,79.8,,244
1,1/22/2022 10:14,A218,A,218,25900,201,,26100
1,1/22/2022 10:42,A220,A,220,22200,203,,22400
1,1/22/2022 11:11,A223,A,223,29800,204,,30000
1,1/22/2022 11:39,A225,A,225,23600,207,,23800
1,1/22/2022 12:07,A227,A,227,31000,205,,31200
1,1/22/2022 12:36,A230,A,230,27700,204,,27900
1,1/22/2022 13:04,A232,A,232,30200,203,,30400
1,1/22/2022 13:33,A234,A,234,33800,201,,34000
1,1/22/2022 14:01,A237,A,237,17900,197,,18100
