sampleid,pond_id,doy,treatment,period,taxa,order_class,gear,density
E20A154HS,A,154,pulsed,prepulse,trichoptera,trichoptera,HS,14.08450704
E20A154HS,A,154,pulsed,prepulse,chironomidae,diptera,HS,42.25352113
E20A154HS,A,154,pulsed,prepulse,planorbidae,hygrophila,HS,70.42253521
E20A154HS,A,154,pulsed,prepulse,physidae,hygrophila,HS,281.6901408
E20A154HS,A,154,pulsed,prepulse,lymnaeidae,hygrophila,HS,28.16901408
E20A154HS,A,154,pulsed,prepulse,belostomatidae,hemiptera,HS,14.08450704
E20A170HS,A,170,pulsed,prepulse,chironomidae,diptera,HS,366.1971831
E20A170HS,A,170,pulsed,prepulse,planorbidae,hygrophila,HS,661.971831
E20A170HS,A,170,pulsed,prepulse,hydrobiidae,littorinimorpha,HS,183.0985915
E20A170HS,A,170,pulsed,prepulse,physidae,hygrophila,HS,690.1408451
E20A184HS,A,184,pulsed,postpulse1,brachycentridae,trichoptera,HS,14.08450704
E20A184HS,A,184,pulsed,postpulse1,physidae,hygrophila,HS,239.4366197
E20A184HS,A,184,pulsed,postpulse1,lymnaeidae,hygrophila,HS,112.6760563
E20A184HS,A,184,pulsed,postpulse1,hydrobiidae,littorinimorpha,HS,14.08450704
E20A184HS,A,184,pulsed,postpulse1,planorbidae,hygrophila,HS,450.7042254
E20A184HS,A,184,pulsed,postpulse1,oligochaeta,oligochaeta,HS,28.16901408
E20A198HS,A,198,pulsed,postpulse1,physidae,hygrophila,HS,140.8450704
E20A198HS,A,198,pulsed,postpulse1,lymnaeidae,hygrophila,HS,14.08450704
E20A198HS,A,198,pulsed,postpulse1,planorbidae,hygrophila,HS,267.6056338
E20A198HS,A,198,pulsed,postpulse1,trichoptera,trichoptera,HS,14.08450704
E20A213HS,A,213,pulsed,postpulse2,planorbidae,hygrophila,HS,267.6056338
E20A213HS,A,213,pulsed,postpulse2,lymnaeidae,hygrophila,HS,70.42253521
E20A213HS,A,213,pulsed,postpulse2,belostomatidae,hemiptera,HS,28.16901408
E20A213HS,A,213,pulsed,postpulse2,unknown pupa,unknown pupa,HS,14.08450704
E20A213HS,A,213,pulsed,postpulse2,oligochaeta,oligochaeta,HS,28.16901408
E20B154HS,B,154,pulsed,prepulse,chironomidae,diptera,HS,98.5915493
E20B154HS,B,154,pulsed,prepulse,odonata_damselfly,odonata,HS,84.50704225
E20B154HS,B,154,pulsed,prepulse,ephemeroptera,ephemeroptera,HS,98.5915493
E20B154HS,B,154,pulsed,prepulse,amphipoda,amphipoda,HS,14.08450704
E20B154HS,B,154,pulsed,prepulse,planorbidae,hygrophila,HS,549.2957746
E20B154HS,B,154,pulsed,prepulse,physidae,hygrophila,HS,619.7183099
E20B154HS,B,154,pulsed,prepulse,notonectidae,hemiptera,HS,28.16901408
E20B154HS,B,154,pulsed,prepulse,oligochaeta,oligochaeta,HS,28.16901408
