pond_id,doy,pot_fol,pot_nod,biomass,areal_biomass
F,157,1,1,1.5,3.75
F,157,1,1,9.5,23.75
F,157,1,1,4.5,11.25
F,157,1,1,3.8,9.499999999999998
F,157,1,0,7,17.5
F,157,1,1,13.1,32.75
F,157,1,1,18,45
F,157,1,0,7.7,19.25
F,157,1,1,9.9,24.75
F,157,1,1,15.8,39.5
F,157,1,0,4.7,11.75
F,157,1,1,10.5,26.25
F,157,1,1,1.5,3.75
F,157,1,0,7.7,19.25
F,157,1,1,4.9,12.25
F,157,0,1,10.6,26.499999999999996
F,157,1,1,19.6,49
F,157,1,1,3.3,8.249999999999998
B,157,1,1,0.9,2.25
B,157,1,1,5.6,13.999999999999998
B,157,1,1,2.1,5.25
B,157,0,1,4.3,10.749999999999998
B,157,1,0,20.6,51.5
B,157,0,1,4.6,11.499999999999998
B,157,0,1,1.8,4.5
B,157,1,0,23.6,59
B,157,1,1,3.6,9
B,157,1,1,3.8,9.499999999999998
B,157,1,0,26.2,65.5
B,157,0,1,4,10
B,157,1,1,2.2,5.5
B,157,1,0,26.2,65.5
B,157,1,1,4.1,10.249999999999998
B,157,0,1,4.1,10.249999999999998
B,157,0,1,4,10
B,157,0,1,2.1,5.25
F,171,1,1,3.6,9
F,171,1,0,9.1,22.749999999999996
F,171,1,1,3.2,8
F,171,1,1,31.2,78
F,171,1,0,39.4,98.49999999999999
F,171,1,1,18.8,47
F,171,1,1,31,77.5
F,171,1,0,32.3,80.74999999999999
F,171,1,1,8.4,21
F,171,1,1,28.3,70.75
F,171,1,0,13.6,34
F,171,1,0,14.7,36.74999999999999
F,171,1,1,9.9,24.75
F,171,1,0,23,57.5
F,171,0,1,28.1,70.25
F,171,0,1,59.2,148
F,171,0,1,38.1,95.25
F,171,0,1,27.8,69.5
B,171,0,1,11.6,28.999999999999996
B,171,0,1,20.3,50.75
B,171,0,1,35,87.5
B,171,0,1,10.7,26.749999999999996
B,171,1,0,107.8,269.5
B,171,0,1,13,32.5
B,171,0,1,19.3,48.25
B,171,1,0,64.8,161.99999999999997
B,171,0,1,8.6,21.499999999999996
B,171,0,1,2,5
B,171,1,0,37.9,94.74999999999999
B,171,1,0,13.5,33.75
B,171,0,1,9.5,23.75
B,171,1,1,42,105
B,171,0,1,16.8,42
B,171,0,1,8.7,21.749999999999996
B,171,0,1,20.6,51.5
B,171,0,1,9.2,22.999999999999996
A,171,NA,NA,14.4,36
A,171,NA,NA,NA,NA
A,171,NA,NA,NA,NA
A,171,NA,NA,30.1,75.25
A,171,NA,NA,22.7,56.74999999999999
A,171,NA,NA,37.4,93.49999999999999
C,171,NA,NA,12.8,32
C,171,NA,NA,33,82.5
C,171,NA,NA,42,105
C,171,NA,NA,54.5,136.25
C,171,NA,NA,18.4,45.99999999999999
C,171,NA,NA,5.1,12.749999999999998
D,171,NA,NA,21.3,53.25
D,171,NA,NA,9.1,22.749999999999996
D,171,NA,NA,21.5,53.75
D,171,NA,NA,37.1,92.75
D,171,NA,NA,36.3,90.74999999999999
D,171,NA,NA,64.8,161.99999999999997
E,171,NA,NA,25.2,62.99999999999999
E,171,NA,NA,21.8,54.5
E,171,NA,NA,19.2,47.99999999999999
E,171,NA,NA,32.6,81.5
E,171,NA,NA,38.5,96.25
E,171,NA,NA,50.1,125.25
F,186,1,1,17.6,44
F,186,1,1,39,97.5
F,186,1,1,19.5,48.75
F,186,1,1,19.7,49.24999999999999
F,186,1,0,50.3,125.74999999999999
F,186,0,1,37.8,94.49999999999999
F,186,1,1,30.5,76.25
F,186,1,0,44.5,111.25
F,186,1,1,24.7,61.74999999999999
F,186,1,1,18,45
F,186,1,0,28.4,70.99999999999999
F,186,1,1,26.9,67.24999999999999
F,186,1,1,10.8,27
F,186,1,0,24.3,60.75
F,186,1,1,17.5,43.75
F,186,0,1,38.5,96.25
F,186,1,1,37.8,94.49999999999999
F,186,0,1,28.3,70.75
B,186,0,1,28.5,71.25
B,186,0,1,34.4,85.99999999999999
B,186,0,1,42.8,106.99999999999999
B,186,0,1,49.3,123.24999999999999
B,186,1,0,0.8,2
B,186,0,1,53,132.5
B,186,0,1,31.4,78.49999999999999
B,186,1,0,1.5,3.75
B,186,0,1,18.5,46.25
B,186,0,1,19.4,48.49999999999999
B,186,1,0,45.8,114.49999999999999
B,186,0,1,10.1,25.249999999999996
B,186,0,1,23.2,57.99999999999999
B,186,1,1,39.7,99.25
B,186,0,1,35.8,89.49999999999999
B,186,0,1,25.5,63.75
B,186,0,1,34.6,86.5
B,186,0,1,43.9,109.74999999999999
F,199,1,0,6.9,17.25
F,199,1,0,48.3,120.74999999999999
F,199,1,1,14.6,36.5
F,199,1,1,38.1,95.25
F,199,1,0,18.2,45.49999999999999
F,199,0,1,53.7,134.25
F,199,0,1,12.9,32.25
F,199,1,0,45.7,114.25
F,199,1,1,43.1,107.75
F,199,1,1,42.4,105.99999999999999
F,199,1,0,78.2,195.5
F,199,1,1,32.2,80.5
F,199,1,1,12.3,30.75
F,199,1,0,41.3,103.24999999999999
F,199,1,1,25,62.5
F,199,0,1,33.4,83.49999999999999
F,199,0,1,64.6,161.49999999999997
F,199,0,1,50.6,126.5
B,199,0,1,37.2,93
B,199,1,1,27,67.5
B,199,0,1,70.5,176.25
B,199,0,1,38,95
B,199,0,0,0,0
B,199,1,1,29.4,73.49999999999999
B,199,1,1,17.2,42.99999999999999
B,199,1,0,0.5,1.25
B,199,0,1,20.1,50.25
B,199,1,1,36.1,90.25
B,199,1,0,1.5,3.75
B,199,0,1,25.7,64.25
B,199,0,1,39.2,98
B,199,1,1,13.9,34.75
B,199,0,1,19.3,48.25
B,199,0,1,22.2,55.49999999999999
B,199,0,1,49.3,123.24999999999999
B,199,0,1,8.8,22
F,213,1,1,75.6,188.99999999999997
F,213,1,0,6.4,16
F,213,1,1,16.1,40.25
F,213,1,1,34.6,86.5
F,213,1,0,7,17.5
F,213,1,1,85.5,213.75
F,213,1,1,45.3,113.24999999999999
F,213,1,0,31.8,79.5
F,213,1,0,34,85
F,213,1,1,22,55
F,213,1,0,31.1,77.75
F,213,1,1,63.9,159.75
F,213,1,1,32.9,82.24999999999999
F,213,1,0,35.2,88
F,213,1,1,47.3,118.24999999999999
F,213,0,1,54.7,136.75
F,213,0,1,78.9,197.25
F,213,1,1,32.9,82.24999999999999
B,213,0,1,51.4,128.5
B,213,1,1,32,80
B,213,0,1,47.4,118.49999999999999
B,213,1,1,53.4,133.5
B,213,0,0,0,0
B,213,0,1,56.8,141.99999999999997
B,213,1,1,38.5,96.25
B,213,0,0,0,0
B,213,1,1,11.8,29.5
B,213,1,1,58.5,146.25
B,213,0,0,0,0
B,213,1,1,13.1,32.75
B,213,1,1,32.2,80.5
B,213,1,0,12.9,32.25
B,213,1,1,36.4,90.99999999999999
B,213,0,1,107.8,269.5
B,213,0,1,62.7,156.75
B,213,0,1,27.7,69.25
A,213,NA,NA,29.3,73.25
A,213,NA,NA,NA,NA
A,213,NA,NA,7.8,19.5
A,213,NA,NA,1.6,4
A,213,NA,NA,104.7,261.75
A,213,NA,NA,40,100
C,213,NA,NA,28,70
C,213,NA,NA,5,12.5
C,213,NA,NA,81.2,203
C,213,NA,NA,65.2,163
C,213,NA,NA,117.3,293.25
C,213,NA,NA,27.8,69.5
D,213,NA,NA,110.9,277.25
D,213,NA,NA,29,72.5
D,213,NA,NA,208.5,521.25
D,213,NA,NA,203.4,508.5
D,213,NA,NA,76.3,190.74999999999997
D,213,NA,NA,75.6,188.99999999999997
E,213,NA,NA,79.6,198.99999999999997
E,213,NA,NA,35.4,88.49999999999999
E,213,NA,NA,50.3,125.74999999999999
E,213,NA,NA,43.1,107.75
E,213,NA,NA,37.4,93.49999999999999
E,213,NA,NA,70.9,177.25
F,228,1,1,5.3,13.249999999999998
F,228,1,0,19.5,48.75
F,228,1,1,22.9,57.24999999999999
F,228,1,1,5.3,13.249999999999998
F,228,0,0,0,0
F,228,0,1,38.1,95.25
F,228,1,1,21.3,53.25
F,228,0,0,0,0
F,228,1,1,69.4,173.5
F,228,1,1,11.7,29.249999999999996
F,228,0,0,0,0
F,228,1,1,56,140
F,228,1,1,31.4,78.49999999999999
F,228,1,1,34.5,86.25
F,228,1,1,66.3,165.74999999999997
F,228,1,1,26.9,67.24999999999999
F,228,1,1,18.6,46.5
F,228,1,1,40.5,101.25
B,228,0,1,41.6,104
B,228,0,1,63.7,159.25
B,228,0,1,61.5,153.75
B,228,1,1,46.9,117.24999999999999
B,228,0,0,0,0
B,228,0,1,29.4,73.49999999999999
B,228,0,1,40.3,100.74999999999999
B,228,0,0,0,0
B,228,1,1,3.9,9.75
B,228,1,1,65.9,164.75
B,228,0,0,0,0
B,228,0,1,25.7,64.25
B,228,1,1,27.4,68.49999999999999
B,228,0,1,0.8,2
B,228,0,1,20.4,50.99999999999999
B,228,0,1,51.8,129.49999999999997
B,228,0,1,48.7,121.75
B,228,0,1,39,97.5
