Macroinvertebrate Families ,feedint_type
chironomidae,grazer
physidae,scrapers
planorbidae,scrapers
oligochaeta,grazer
hydrobiidae,scrapers
amphipoda,grazers
notonectidae,predator
damselfly,predator
ephemeroptera,grazers
gammaridae,grazers
gomphidae,predator
belostomatidae,predator
haliplidae,omnivore
tadpole,grazers
dragonfly,predator
odonata,predator
pleidae,predator
coleoptera,omnivore
corixidae,predator
gerridae,predator
coenagrionidae,predator
lymnaeidae,scrapers
hirudinea,predator
baetidae,grazers
dytiscidae,predator
diptera,predator
trichoptera,omnivore
hydrophilidae,predator
,
