pond_id,launch,collect,biomass_area_m2,biomass_area_cm2
A,163,177,1499.831439,0.149983144
B,163,177,791.6847267,0.079168473
C,163,177,3273.630999,0.3273631
D,163,177,129.6067647,0.012960676
E,163,177,247.0636497,0.024706365
F,163,177,369.1537347,0.036915373
A,177,191,2653.083368,0.265308337
B,177,191,498.2869967,0.0498287
C,177,191,360.1446287,0.036014463
D,177,191,565.9110077,0.056591101
E,177,191,612.2991677,0.061229917
F,177,191,823.5765977,0.08235766
A,191,205,1491.978423,0.149197842
B,191,205,1214.112783,0.121411278
C,191,205,2994.556071,0.299455607
D,191,205,2869.498983,0.286949898
E,191,205,1437.699783,0.143769978
F,191,205,1213.643847,0.121364385
A,205,216,1722.258779,0.172225878
B,205,216,824.3670827,0.082436708
C,205,216,1015.316699,0.10153167
D,205,216,2945.749307,0.294574931
E,205,216,1280.695163,0.128069516
F,205,216,1069.887371,0.106988737
A,216,233,2065.699643,0.206569964
B,216,233,980.4469547,0.098044695
C,216,233,1061.828411,0.106182841
D,216,233,2244.288443,0.224428844
E,216,233,1502.763035,0.150276303
F,216,233,1595.494427,0.159549443
